barcode,brand_id,category,categoryCode,cpgOid,name,topBrand,brandCode
5.11112E+11,5f3e9172be37ce5a0e01b956,Baking,BAKING,5f3e9172be37ce5a0e01b952,test brand @1597935986474,,TEST BRANDCODE @1597935986474
5.11112E+11,540f241c68abd3c7065097d5,,,540f215de4b09fb9af4b49f1,Prairie Farms,,
5.11112E+11,5ab13217e4b0915382df761b,Snacks,,5a734034e4b0d58f376be874,Milano,FALSE, MILANO
5.11112E+11,5fd3acb9be37ce0d9386bb4c,Baking,BAKING,5fd3acb9be37ce0d9386bb4b,test brand @1607707833391,FALSE,
5.11111E+11,53501e6cb9237fd7718f9e25,,,53501d2ab9237fd7718f9e1a,Palermo,,
5.11112E+11,5f208db0be37ce7958c59527,Baking,BAKING,5f208db0be37ce7958c59526,test brand @1595968944654,,
5.11111E+11,5dc07e2aa60b873d6b0666d1,,,53e10d6368abd3c7065097cc,"General Mills ""Big G"" Cereal",,GENERAL MILLS CEREAL
5.11112E+11,5f493e73be37ce64d0ae36c7,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,test brand @1598635635448,,TEST BRANDCODE @1598635635448
5.11112E+11,592486bde410d61fcea3d125,Personal Care,,5332f5f6e4b03c9a25efd0b4,CLEAR,FALSE,CLEAR
5.11112E+11,5a5d10b5e4b06ba572cf2497,Beer Wine Spirits,,5332f709e4b03c9a25efd0f1,Arnold Palmer Spiked,FALSE,ARNOLD PALMER SPIKED HALF & HALF ORIGINAL
5.11112E+11,5fb81985be37ce522e165cdb,Beer Wine Spirits,BEER_WINE_SPIRITS,5fb6d381be37ce522e165cbd,AbsolutÂ® Lime,FALSE,ABSOLUTÂ® LIME
5.11112E+11,5fb81718be37ce522e165cd6,Beer Wine Spirits,BEER_WINE_SPIRITS,5fb6d381be37ce522e165cbd,AbsolutÂ® Juice Strawberry,FALSE,ABSOLUTÂ® JUICE STRAWBERRY
5.11112E+11,5fb817e8be37ce522e165cd8,Beer Wine Spirits,BEER_WINE_SPIRITS,5fb6d381be37ce522e165cbd,AbsolutÂ® Original,FALSE,ABSOLUTÂ® ORIGINAL
5.11112E+11,5fb818abbe37ce522e165cd9,Beer Wine Spirits,BEER_WINE_SPIRITS,5fb6d381be37ce522e165cbd,AbsolutÂ® Mandrin,FALSE,ABSOLUTÂ® MANDRIN
5.11112E+11,5fb7f9c2be37ce522e165cc8,Beer Wine Spirits,BEER_WINE_SPIRITS,5fb6d381be37ce522e165cbd,AbsolutÂ® Elyx,FALSE,ABSOLUT ELYX
5.11111E+11,5fb81796be37ce522e165cd7,Beer Wine Spirits,BEER_WINE_SPIRITS,5fb6d381be37ce522e165cbd,AbsolutÂ® Juice Apple,FALSE,ABSOLUTÂ® JUICE APPLE
5.11111E+11,5fb7f8febe37ce522e165cc7,Beer Wine Spirits,BEER_WINE_SPIRITS,5fb6d381be37ce522e165cbd,AberlourÂ®,FALSE,ABERLOUR
5.11111E+11,5fb80a6bbe37ce522e165cd0,Beer Wine Spirits,BEER_WINE_SPIRITS,5fb6d381be37ce522e165cbd,JamesonÂ® Cold Brew ,FALSE,JAMESON COLD BREW 
5.11112E+11,5fb6d68abe37ce522e165cbf,Beer Wine Spirits,BEER_WINE_SPIRITS,5fb6d381be37ce522e165cbd,Jeffersonâ€™s ReserveÂ®,FALSE,JEFFERSONâ€™S RESERVE
5.11112E+11,5fb6d5e4be37ce522e165cbe,Beer Wine Spirits,BEER_WINE_SPIRITS,5fb6d381be37ce522e165cbd,Campo ViejoÂ®,FALSE,CAMPO VIEJO
5.11112E+11,5fb7e90fbe37ce522e165cc5,Beer Wine Spirits,BEER_WINE_SPIRITS,5fb6d381be37ce522e165cbd,KahluaÂ®,FALSE,KAHLUA
5.11111E+11,5fb7e52abe37ce522e165cc2,Beer Wine Spirits,BEER_WINE_SPIRITS,5fb6d381be37ce522e165cbd,Mumm NapaÂ®,FALSE,MUMM NAPA 
5.11112E+11,5fb7e7aebe37ce522e165cc4,Beer Wine Spirits,BEER_WINE_SPIRITS,5fb6d381be37ce522e165cbd,MalfyÂ®,FALSE,MALFY
5.11111E+11,5fb80e12be37ce522e165cd4,Beer Wine Spirits,BEER_WINE_SPIRITS,5fb6d381be37ce522e165cbd,MalibuÂ® Lime,FALSE,MALIBUÂ® LIME
5.11111E+11,5fb80e70be37ce522e165cd5,Beer Wine Spirits,BEER_WINE_SPIRITS,5fb6d381be37ce522e165cbd,MalibuÂ® Strawberry,FALSE,MALIBUÂ® STRAWBERRY
5.11111E+11,5fb7fae8be37ce522e165cca,Beer Wine Spirits,BEER_WINE_SPIRITS,5fb6d381be37ce522e165cbd,Redbreast 12YO ,FALSE,REDBREAST 12YO 
5.11111E+11,5f38578fbe37ce5178517ad5,Baking,BAKING,5f38578fbe37ce5178517ad3,test brand @1597527951412,,TEST BRANDCODE @1597527951412
5.11111E+11,5f441281be37ce5dbe9b7c84,Baking,BAKING,5f441281be37ce5dbe9b7c83,test brand @1598296705593,,
5.11112E+11,5a5d25b6e4b0db471c2d042c,Beer Wine Spirits,,5332f709e4b03c9a25efd0f1,Sol,FALSE,SOL
5.11112E+11,5332f807e4b03c9a25efd16f,,,5332f7ffe4b03c9a25efd16b,Activia,,
5.11111E+11,585a9618e4b03e62d1ce0e75,Snacks,,5332f5fbe4b03c9a25efd0ba,Baked!,TRUE,
5.11112E+11,5f513ea1be37ce21f1287c06,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,test brand @1599159969725,,TEST BRANDCODE @1599159969725
5.11111E+11,5f4cffbba475f1050a66b574,Baking,BAKING,5f4cffbaa475f1050a66b573,test brand @1598881723241,,
5.11112E+11,57ebc2f0e4b0ac389136a34c,Grocery,,559c2234e4b06aca36af13c6,Wyler's,FALSE,WYLER'S
5.11112E+11,5f7ba932be37ce2f290fb254,Baking,BAKING,5f7ba932be37ce2f290fb251,test brand @1601939762943,,TEST BRANDCODE @1601939762943
5.11111E+11,5db9e6551dda2c3e1416aea0,Frozen,,559c2234e4b06aca36af13c6,Fat Rabbit,,FAT RABBIT
5.11111E+11,5daf60021dda2c3e1416ae9a,Breakfast & Cereal,,5332f5f3e4b03c9a25efd0ae,Totalâ„¢,,TOTAL
5.11112E+11,5f493e72be37ce64d0ae36c1,Baking,BAKING,5f493e72be37ce64d0ae36c0,test brand @1598635634169,,
5.11112E+11,5f493dabbe37ce64d0ae36bb,Baking,BAKING,5f493dabbe37ce64d0ae36ba,test brand @1598635435829,,TEST BRANDCODE @1598635435829
5.11111E+11,55a58727e4b0d0a65b3693cd,,,55a58719e4b0d0a65b3693cc,Nature's Bakery,,
5.11111E+11,5fd3ae1fbe37ce0d9386bb55,Baking,BAKING,5fd3ae1fbe37ce0d9386bb54,test brand @1607708191092,FALSE,TEST BRANDCODE @1607708191093
5.11112E+11,5332fa75e4b03c9a25efd220,,,5332f5ebe4b03c9a25efd0a8,Coca-Cola Zero,,
5.11112E+11,5fb80dd6be37ce522e165cd3,Beer Wine Spirits,BEER_WINE_SPIRITS,5fb6d381be37ce522e165cbd,MalibuÂ® Pineapple,FALSE,MALIBUÂ® PINEAPPLE
5.11111E+11,5c49d24df0276e771967371a,Baby,,59b96571e4b0bf7c7980588b,PURE BLISS,,PURE BLISS
5.11112E+11,5a8c36a1e4b0ccf165fac9e8,Snacks,,5a734034e4b0d58f376be874,Royal Dansk,FALSE,ROYAL DANSK
5.11111E+11,5f4a64e7be37ce17d23b317c,Baking,BAKING,5f4a64e7be37ce17d23b3178,test brand @1598711015578,,TEST BRANDCODE @1598711015578
5.11111E+11,57ebc13de4b0ac389136a33e,Dairy,,53e10d6368abd3c7065097cc,Kraft Shredded Cheese,,
5.11111E+11,57d9612be4b0ac389136a2ba,Frozen,,559c2234e4b06aca36af13c6,Devour,FALSE,DEVOUR
5.11112E+11,5a8c2f7ce4b0ccf165fac9e3,Canned Goods & Soups,,5a734034e4b0d58f376be874,Campbell's,FALSE,CAMPBELLS
5.11112E+11,5f16f536be37ce2b30061e26,Baking,BAKING,5f16f535be37ce2b30061e24,test brand @1595340086011,,TEST BRANDCODE @1595340086011
5.11111E+11,5a4d254ce4b0bcb2c74ea780,Beverages,,5332f5fbe4b03c9a25efd0ba,STUBBORN SODA,FALSE,STUBBORN SODA
5.11112E+11,5fb6d83cbe37ce522e165cc1,Beer Wine Spirits,BEER_WINE_SPIRITS,5fb6d381be37ce522e165cbd,AvionÂ® Silver,FALSE,AVION
5.11111E+11,5ff74126be37ce1e961f3271,Baking,BAKING,5ff74126be37ce1e961f326e,test brand @1610039590413,FALSE,TEST BRANDCODE @1610039590413
5.11112E+11,5ff74126be37ce1e961f326f,Baking,BAKING,5ff74126be37ce1e961f326e,test brand @1610039590349,FALSE,TEST BRANDCODE @1610039590349
5.11112E+11,5ff74126be37ce1e961f3272,Baking,BAKING,5ff74126be37ce1e961f326e,test brand @1610039590443,FALSE,TEST BRANDCODE @1610039590443
5.11112E+11,5ff744ffbe37ce1e961f3275,Baking,BAKING,5ff744ffbe37ce1e961f3274,test brand @1610040575410,FALSE,
5.11111E+11,5ff74126be37ce1e961f3270,Baking,BAKING,5ff74126be37ce1e961f326e,test brand @1610039590383,FALSE,TEST BRANDCODE @1610039590383
5.11111E+11,5ff74126be37ce1e961f3273,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,test brand @1610039590990,FALSE,TEST BRANDCODE @1610039590990
5.11112E+11,5ffe3686be37ce5e01754c5e,Baking,BAKING,5ffe3686be37ce5e01754c5d,test brand @1610495622485,FALSE,TEST BRANDCODE @1610495622485
5.11112E+11,5ffe3a86be37ce7aab2d4fd5,Baking,BAKING,5ffe3a85be37ce7aab2d4fd4,test brand @1610496646103,FALSE,TEST BRANDCODE @1610496646104
5.11111E+11,5ffe3686be37ce5e01754c5f,Baking,BAKING,5ffe3686be37ce5e01754c5d,test brand @1610495622510,FALSE,TEST BRANDCODE @1610495622510
5.11111E+11,5ffe3687be37ce5e01754c62,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,test brand @1610495623019,FALSE,TEST BRANDCODE @1610495623019
5.11111E+11,5ffe3686be37ce5e01754c60,Baking,BAKING,5ffe3686be37ce5e01754c5d,test brand @1610495622536,FALSE,TEST BRANDCODE @1610495622536
5.11112E+11,5ffe3686be37ce5e01754c61,Baking,BAKING,5ffe3686be37ce5e01754c5d,test brand @1610495622560,FALSE,TEST BRANDCODE @1610495622560
5.11111E+11,5e5ff158ee7f2d0b35b2a18d,Health & Wellness,HEALTHY_AND_WELLNESS,5d9b4f591dda2c6225a284aa,ONE A DAYÂ®,FALSE,ONE A DAY
5.11112E+11,5332fa77e4b03c9a25efd225,,,5332f5ebe4b03c9a25efd0a8,Cherry Coke,,
5.11112E+11,5d659490a3a018514994f433,Magazines,,5d5d4fd16d5f3b23d1bc7905,Happy Paws,,5.11112E+11
5.11112E+11,5e710da7ee7f2d0b35b2a191,Dairy & Refrigerated,DAIRY_AND_REFRIGERATED,5e5ea9cc9c50da1291a6d074,COUNTRY CROCK ORIGINAL,,COUNTRY CROCK ORIGINAL
5.11112E+11,592486bee410d61fcea3d12c,Condiments & Sauces,,5332f5f6e4b03c9a25efd0b4,Mayo by HELLMANN'S/BEST FOODS,FALSE,HELLMANN'S/BEST FOODS
5.11112E+11,5f38578fbe37ce5178517ad4,Baking,BAKING,5f38578fbe37ce5178517ad3,test brand @1597527951382,,TEST BRANDCODE @1597527951382
5.11112E+11,5f772952be37ce6b592e90d4,Baking,BAKING,5f772951be37ce6b592e90d1,test brand @1601644882040,,TEST BRANDCODE @1601644882040
5.11111E+11,5f385790be37ce5178517ad8,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,test brand @1597527952048,,TEST BRANDCODE @1597527952048
5.11111E+11,5f4a650bbe37ce17d23b317f,Baking,BAKING,5f4a650bbe37ce17d23b317e,test brand @1598711051957,,
5.11112E+11,5f43faadbe37ce3ef3fd371b,Baking,BAKING,5f43faadbe37ce3ef3fd371a,test brand @1598290605359,,
5.11112E+11,5f208dafbe37ce7958c59525,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,test brand @1595968943787,,TEST BRANDCODE @1595968943787
5.11111E+11,592486bfe410d61fcea3d13c,Frozen,,5332f5f6e4b03c9a25efd0b4,TALENTI,FALSE,TALENTI
5.11112E+11,5f493e72be37ce64d0ae36c3,Baking,BAKING,5f493e72be37ce64d0ae36c2,test brand @1598635634767,,TEST BRANDCODE @1598635634767
5.11111E+11,5da6097ea60b87376833e358,Health & Wellness,,53e10d6368abd3c7065097cc,ONE A DAYÂ® VITACRAVES ADULT MULTIVITAMINS,,5.11111E+11
5.11112E+11,58b59950e4b0857c2ddb7254,Beer Wine Spirits,,5332f709e4b03c9a25efd0f1,Red Dog,,RED DOG
5.11111E+11,58861c7e4e8d0d20bc42c4ee,Beer Wine Spirits,,5332f709e4b03c9a25efd0f1,Smith & Forge Hard Cider,FALSE,SMITH & FORGE
5.11111E+11,5a5e34fee4b0db471c2d0436,Beverages,,5332f5fbe4b03c9a25efd0ba,LIPTON Iced Tea Beverages,FALSE,LIPTON Iced Tea Beverages
5.11111E+11,585a96f5e4b03e62d1ce0e8d,Snacks,,5332f5fbe4b03c9a25efd0ba,Ruffles,,RUFFLES
5.11112E+11,5ab13165e4b0be0a89bb0b03,Beverages,,5a734034e4b0d58f376be874,V8 Plus Energy,FALSE,V8 PLUS ENERGY 
5.11112E+11,5afda618e4b0c11cfecd49fa,Snacks,,5a734034e4b0d58f376be874,POP SECRET,FALSE,POP SECRET
5.11111E+11,5f7ba933be37ce2f290fb256,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,test brand @1601939763539,,TEST BRANDCODE @1601939763539
5.11111E+11,5332f800e4b03c9a25efd16c,,,5332f7ffe4b03c9a25efd16b,Fruit on the Bottom,,
5.11112E+11,5887a0fde4b02187f85cdad1,Beverages,,559c2234e4b06aca36af13c6,Capri Sun,FALSE,CAPRI SUN
5.11111E+11,5a5d1acce4b0db471c2d0421,Snacks,,5332f5fbe4b03c9a25efd0ba,NUT HARVEST,,NUT HARVEST
5.11112E+11,5f4cff1ba475f1050a66b569,Baking,BAKING,5f4cff1aa475f1050a66b566,test brand @1598881563437,,TEST BRANDCODE @1598881563437
5.11112E+11,57c0810fe4b0718ff5fcb02d,,,5332f5f2e4b03c9a25efd0aa,Famous Amos,,
5.11111E+11,5f628215be37ce78e6e2efac,Baking,BAKING,5f628214be37ce78e6e2efaa,test brand @1600291349208,,TEST BRANDCODE @1600291349208
5.11111E+11,53501d2ab9237fd7718f9e19,,,53501d2ab9237fd7718f9e18,Emils,,
5.11111E+11,5b184cdbe4b0d159a5b66e2b,Beer Wine Spirits,,53e10d6368abd3c7065097cc,Henry Weinhard's,,HENRY WEINHARDS
5.11111E+11,5f504ac3be37ce0b793c9416,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,test brand @1599097539366,,TEST BRANDCODE @1599097539367
5.11112E+11,5d6415b3a3a018514994f428,Magazines,,5d5d4fd16d5f3b23d1bc7905,People Special Edition Magazine,,5.11112E+11
5.11112E+11,5dc07880a60b873d6b0666cf,Breakfast & Cereal,,53e10d6368abd3c7065097cc,Fruity Cheeriosâ„¢,,FRUITY CHEERIOS
5.11112E+11,5da608821dda2c3e1416ae8c,Health & Wellness,,53e10d6368abd3c7065097cc,Flintstonesâ„¢ MULTIVITAMIN GUMMY,,FLINTSTONES MULTIVITAMIN GUMMY
5.11111E+11,57e58166e4b0ac389136a30b,Beer Wine Spirits,,5332f709e4b03c9a25efd0f1,Foster's,FALSE,FOSTER'S
5.11112E+11,5d5411eda3a018514994f420,Condiments & Sauces,,559c2234e4b06aca36af13c6,F. Whitlock & Sons BBQ Sauce,,F WHITLOCK AND SONS
